Period,London_5_eur,EUREP,STDEV,Region 1,Region 2,Region 3,EU Average Short term contracts,Region 1 Short term contracts,Region 2 Short term contracts,Region 3 Short term contracts,EU Average (weights),Region 1 (weights),Region 2 (weights),Region 3 (weights),EU Average Short term contracts (weights),Region 1 Short term contracts (weights),Region 2 Short term contracts (weights),Region 3 Short term contracts (weights),,,EU reported prices (to Nov 22)
01/02/2008,€ 379.21,€ 596.00,€ 26.00,,,,,,,,,,,,,,,,,,
01/01/2008,€ 349.60,€ 612.00,€ 20.00,,,,,,,,,,,,,,,,,,
01/12/2007,€ 316.12,€ 618.00,€ 20.00,,,,,,,,,,,,,,,,,,
01/11/2007,€ 300.20,€ 616.00,€ 25.00,,,,,,,,,,,,,,,,,,
01/10/2007,€ 293.05,€ 617.00,€ 23.00,,,,,,,,,,,,,,,,,,
01/09/2007,€ 289.30,€ 619.00,€ 26.00,,,,,,,,,,,,,,,,,,
01/08/2007,€ 296.12,€ 620.00,€ 25.00,,,,,,,,,,,,,,,,,,
01/07/2007,€ 309.73,€ 621.00,€ 22.00,,,,,,,,,,,,,,,,,,
01/06/2007,€ 303.39,€ 622.00,€ 18.00,,,,,,,,,,,,,,,,,,
01/05/2007,€ 309.47,€ 625.00,€ 20.00,,,,,,,,,,,,,,,,,,
01/04/2007,€ 310.03,€ 627.00,€ 19.00,,,,,,,,,,,,,,,,,,
01/03/2007,€ 325.35,€ 628.00,€ 18.00,,,,,,,,,,,,,,,,,,
01/02/2007,€ 319.26,€ 629.00,€ 18.00,,,,,,,,,,,,,,,,,,
01/01/2007,€ 320.73,€ 629.00,€ 18.00,,,,,,,,,,,,,,,,,,
01/12/2006,€ 339.34,€ 632.00,€ 17.00,,,,,,,,,,,,,,,,,,
01/11/2006,€ 354.23,€ 633.00,€ 17.00,,,,,,,,,,,,,,,,,,
01/10/2006,€ 350.26,€ 632.00,€ 17.00,,,,,,,,,,,,,,,,,,
01/09/2006,€ 358.51,€ 636.00,€ 21.00,,,,,,,,,,,,,,,,,,
01/08/2006,€ 387.90,€ 634.00,€ 22.00,,,,,,,,,,,,,,,,,,
01/07/2006,€ 446.33,€ 630.00,€ 20.00,,,,,,,,,,,,,,,,,,
01/06/2006,€ 436.89,,,,,,,,,,,,,,,,,,,,
01/05/2006,€ 458.27,,,,,,,,,,,,,,,,,,,,
01/04/2006,€ 461.16,,,,,,,,,,,,,,,,,,,,
01/03/2006,€ 442.32,,,,,,,,,,,,,,,,,,,,
01/02/2006,€ 439.37,,,,,,,,,,,,,,,,,,,,
01/01/2006,€ 397.81,,,,,,,,,,,,,,,,,,,,
01/12/2005,€ 350.62,,,,,,,,,,,,,,,,,,,,
01/11/2005,€ 306.08,,,,,,,,,,,,,,,,,,,,
01/10/2005,€ 309.79,,,,,,,,,,,,,,,,,,,,
01/09/2005,€ 296.65,,,,,,,,,,,,,,,,,,,,
01/08/2005,€ 278.54,,,,,,,,,,,,,,,,,,,,
01/07/2005,€ 274.49,,,,,,,,,,,,,,,,,,,,
01/06/2005,€ 256.55,,,,,,,,,,,,,,,,,,,,
01/05/2005,€ 247.22,,,,,,,,,,,,,,,,,,,,
01/04/2005,€ 252.37,,,,,,,,,,,,,,,,,,,,
01/03/2005,€ 262.16,,,,,,,,,,,,,,,,,,,,
01/02/2005,€ 266.98,,,,,,,,,,,,,,,,,,,,
01/01/2005,€ 266.51,,,,,,,,,,,,,,,,,,,,
01/12/2004,€ 260.86,,,,,,,,,,,,,,,,,,,,
01/11/2004,€ 256.26,,,,,,,,,,,,,,,,,,,,
01/10/2004,€ 254.06,,,,,,,,,,,,,,,,,,,,
01/09/2004,€ 250.43,,,,,,,,,,,,,,,,,,,,
01/08/2004,€ 248.35,,,,,,,,,,,,,,,,,,,,
01/07/2004,€ 248.47,,,,,,,,,,,,,,,,,,,,
01/06/2004,€ 229.60,,,,,,,,,,,,,,,,,,,,
01/05/2004,€ 224.95,,,,,,,,,,,,,,,,,,,,
01/04/2004,€ 225.03,,,,,,,,,,,,,,,,,,,,
01/03/2004,€ 205.41,,,,,,,,,,,,,,,,,,,,
