LAST UPDATE,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,coicop_description,hicp_201710.OBS_VALUE
18/08/2023 11:00,I05,CP00,BE,01/08/2013,120.27,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/09/2013,120.06,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/10/2013,119.93,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/11/2013,120.05,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/12/2013,120.59,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/01/2014,118.32,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/02/2014,120.92,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/03/2014,120.89,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/04/2014,120.65,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/05/2014,120.46,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/06/2014,120.65,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/07/2014,119.06,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/08/2014,120.76,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/09/2014,120.31,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/10/2014,120.32,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/11/2014,120.13,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/12/2014,120.12,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/01/2015,117.57,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/02/2015,120.43,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/03/2015,120.75,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/04/2015,121.1,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/05/2015,121.48,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/06/2015,121.69,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/07/2015,120.08,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/08/2015,121.67,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/09/2015,121.4,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/10/2015,121.71,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/11/2015,121.81,All-items HICP,126.33
