Easting,Northing,Factory,Owner,Country,Group,MegaGroup,Beet processing factory,Isoglucose factory,Factory with cane refining capacity,Beet ethanol factory,Certified organic,Liquid sugar only,Sugar cane mill
26.83554757,45.1336878,Buzau,Agrana Romania,Romania,Agrana,Suedzucker,1,0,1,0,0,0,0
-0.260141883,49.15423357,Cagny,Saint Louis,France,Suedzucker,Suedzucker,1,0,0,0,0,0,0
27.31149438,44.22393391,Calarasi,Lemarco,Romania,Lemarco,Others,0,0,1,0,0,0,0
1.520881526,52.5749417,Cantley,British Sugar,United Kingdom,British Sugar,AB Sugar,1,0,0,0,0,0,0
11.31387905,45.02276688,Castelmassa,Cargill Italy,Italy,Cargill,Others,1,1,0,0,0,0,0
18.12316384,50.22636223,Cerekiew,Sudzucker Polska,Poland,Suedzucker,Suedzucker,1,0,0,0,0,0,0
16.05122916,50.28420409,Ceske Mezirici,Tereos TTD,Czech Republic,Tereos,Tereos,1,0,0,0,0,0,0
18.59779952,53.1830461,Chełmża,Nordzucker Polska,Poland,Nordzucker,Nordzucker,1,0,1,0,0,0,0
2.669026459,49.36240898,Chevrieres,Tereos,France,Tereos,Tereos,1,0,0,0,0,0,0
10.03490593,52.2328713,Clauen,Nordzucker,Germany,Nordzucker,Nordzucker,1,0,0,0,0,0,0
3.898525179,48.72582087,Connantre,Tereos,France,Tereos,Tereos,1,0,0,0,0,0,0
24.47348846,43.77142301,Corabia,SC Zaharul Corabia S.A.,Romania,Corabia,Others,0,0,1,0,0,0,0
2.527596402,47.93673198,Corbeilles-en-Gatinais,CristalCo,France,CristalCo,CristalCo,1,0,0,0,0,0,0
-8.503424315,38.93427816,Coruche,SFIR Portugal,Portugal,ASR,ASR,0,0,1,0,0,0,0
19.45655487,45.66532837,Crvenka,HSI,Serbia,HSI,Others,1,0,1,0,0,0,0
27.6116145,43.2139,Devnya,Litex,Bulgaria,Others,Others,0,0,1,0,0,0,0
4.431996608,51.61948245,Dinteloord,Suiker Unie,Netherlands,Cosun,Cosun,1,0,0,0,0,0,0
14.96589273,50.36749129,Dobrovice,Tereos TTD,Czech Republic,Tereos,Tereos,1,0,0,1,0,0,0
19.60639317,52.22920816,Dobrzelin,Polski Cukier,Poland,Polski Cukier,Polski Cukier,1,0,0,0,0,0,0
24.54211591,43.46801362,Dolna Mitropolia,Litex,Bulgaria,Others,Others,0,0,1,0,0,0,0
27.80863453,48.04056083,Drochia,Sudzucker Moldova,Moldova,Suedzucker,Suedzucker,1,0,0,0,0,0,0
6.56327228,50.93790173,Elsdorf,Pfeifer & Langen,Germany,Pfeifer & Langen,Pfeifer & Langen,1,0,0,0,0,0,0
3.049448447,49.73768356,Eppeville,Saint Louis,France,Suedzucker,Suedzucker,1,0,0,1,0,0,0
7.694049291,48.40994157,Erstein,CristalCo,France,CristalCo,CristalCo,1,0,1,0,0,0,0
